,Unnamed: 0,image,label,original_image,train,test,val,fragment,patchpixelcm,patch
15040,38715,0_0_12178_4275Z6R.jpg,12178,0_12178_4275Z6R.png,False,True,False,0,,0
15045,38725,0_9_13912_4803FV.jpg,13912,9_13912_4803FV.png,False,True,False,9,,0
15050,38740,0_0_18428_7176V.jpg,18428,0_18428_7176V.png,False,True,False,0,,0
15055,38750,0_0_14160_5240DR.jpg,14160,0_14160_5240DR.png,False,True,False,0,,0
15060,38765,0_3_11183_4124PV.jpg,11183,3_11183_4124PV.png,False,True,False,3,,0
15065,38785,0_4_13979_4877DV.jpg,13979,4_13979_4877DV.png,False,True,False,4,,0
15070,38805,0_2_4660_1835R.jpg,4660,2_4660_1835R.png,False,True,False,2,,0
15075,38810,0_1_10980_4110AV.jpg,10980,1_10980_4110AV.png,False,True,False,1,,0
15080,38820,0_1_8872_3538R.jpg,8872,1_8872_3538R.png,False,True,False,1,,0
15085,38825,0_0_11632_4162KR.jpg,11632,0_11632_4162KR.png,False,True,False,0,,0
15090,38830,0_0_12939_4440BR.jpg,12939,0_12939_4440BR.png,False,True,False,0,,0
15095,38835,0_5_12121_4262R.jpg,12121,5_12121_4262R.png,False,True,False,5,,0
15100,38855,0_0_13979_4877DR.jpg,13979,0_13979_4877DR.png,False,True,False,0,,0
15105,38875,0_5_13919_4807GR.jpg,13919,5_13919_4807GR.png,False,True,False,5,,0
15110,38890,0_1_13909_4800DR.jpg,13909,1_13909_4800DR.png,False,True,False,1,,0
15115,38905,0_5_13873_4761DV.jpg,13873,5_13873_4761DV.png,False,True,False,5,,0
15120,38910,0_4_13958_4873BV.jpg,13958,4_13958_4873BV.png,False,True,False,4,,0
15125,38920,0_0_12673_4417AR.jpg,12673,0_12673_4417AR.png,False,True,False,0,,0
15130,38925,0_3_13918_4807FV.jpg,13918,3_13918_4807FV.png,False,True,False,3,,0
15135,38940,0_3_14740_6607BR.jpg,14740,3_14740_6607BR.png,False,True,False,3,,0
15140,38950,0_2_14727_6613V.jpg,14727,2_14727_6613V.png,False,True,False,2,,0
15145,38980,0_1_13919_4807GV.jpg,13919,1_13919_4807GV.png,False,True,False,1,,0
15150,38985,0_0_13958_4873BR.jpg,13958,0_13958_4873BR.png,False,True,False,0,,0
15155,38995,0_1_13873_4761DR.jpg,13873,1_13873_4761DR.png,False,True,False,1,,0
15160,39040,0_1_14085_5031BR.jpg,14085,1_14085_5031BR.png,False,True,False,1,,0
15165,39045,0_0_12016_4368R.jpg,12016,0_12016_4368R.png,False,True,False,0,,0
15170,39050,0_1_9802_3359R.jpg,9802,1_9802_3359R.png,False,True,False,1,,0
15175,39055,0_6_13912_4803FR.jpg,13912,6_13912_4803FR.png,False,True,False,6,,0
15180,39060,0_0_4009_1038R.jpg,4009,0_4009_1038R.png,False,True,False,0,,0
15185,39085,0_3_16600_3520_P37_44.jpg,16600,3_16600_3520_P37_44.png,False,True,False,3,,0
15190,39090,0_0_11639_4163CR.jpg,11639,0_11639_4163CR.png,False,True,False,0,,0
15195,39095,0_7_13883_4797BV.jpg,13883,7_13883_4797BV.png,False,True,False,7,,0
15200,39115,0_3_15216_6412DV.jpg,15216,3_15216_6412DV.png,False,True,False,3,,0
15205,39120,0_1_4009_1038V.jpg,4009,1_4009_1038V.png,False,True,False,1,,0
15210,39130,0_0_9802_3359V.jpg,9802,0_9802_3359V.png,False,True,False,0,,0
15215,39135,0_1_13421_4495FV.jpg,13421,1_13421_4495FV.png,False,True,False,1,,0
15220,39155,0_3_13966_4874BV.jpg,13966,3_13966_4874BV.png,False,True,False,3,,0
15225,39170,0_0_12724_4420DR.jpg,12724,0_12724_4420DR.png,False,True,False,0,,0
15230,39175,0_3_17858_6941V.jpg,17858,3_17858_6941V.png,False,True,False,3,,0
15235,39185,0_3_13883_4797BR.jpg,13883,3_13883_4797BR.png,False,True,False,3,,0
15240,39190,0_1_16599_3520_P38_43.jpg,16599,1_16599_3520_P38_43.png,False,True,False,1,,0
15245,39195,0_1_16635_3520_P32_49.jpg,16635,1_16635_3520_P32_49.png,False,True,False,1,,0
15250,39240,0_3_14084_5028BV.jpg,14084,3_14084_5028BV.png,False,True,False,3,,0
15255,39255,0_2_5164_5578_7R.jpg,5164,2_5164_5578_7R.png,False,True,False,2,,0
15260,39265,0_0_8598_2152R.jpg,8598,0_8598_2152R.png,False,True,False,0,,0
15265,39275,0_1_11792_4188R.jpg,11792,1_11792_4188R.png,False,True,False,1,,0
15270,39280,0_0_18369_7136V.jpg,18369,0_18369_7136V.png,False,True,False,0,,0
15275,39285,0_1_14494_5694HR.jpg,14494,1_14494_5694HR.png,False,True,False,1,,0
15280,39330,0_1_16616_3520_P18_65.jpg,16616,1_16616_3520_P18_65.png,False,True,False,1,,0
15285,39355,0_0_18369_7136R.jpg,18369,0_18369_7136R.png,False,True,False,0,,0
15290,39360,0_1_12840_4419DR.jpg,12840,1_12840_4419DR.png,False,True,False,1,,0
15295,39380,0_3_14084_5028BR.jpg,14084,3_14084_5028BR.png,False,True,False,3,,0
15300,39415,0_1_8598_2152R.jpg,8598,1_8598_2152R.png,False,True,False,1,,0
15305,39430,0_3_13883_4797BV.jpg,13883,3_13883_4797BV.png,False,True,False,3,,0
15310,39450,0_3_17858_6941R.jpg,17858,3_17858_6941R.png,False,True,False,3,,0
15315,39455,0_0_12724_4420DV.jpg,12724,0_12724_4420DV.png,False,True,False,0,,0
15320,39480,0_5_14085_5031BR.jpg,14085,5_14085_5031BR.png,False,True,False,5,,0
15325,39490,0_3_15089_6391HR.jpg,15089,3_15089_6391HR.png,False,True,False,3,,0
15330,39500,0_2_13912_4803FR.jpg,13912,2_13912_4803FR.png,False,True,False,2,,0
15335,39505,0_1_4009_1038R.jpg,4009,1_4009_1038R.png,False,True,False,1,,0
15340,39510,0_4_4660_1835R.jpg,4660,4_4660_1835R.png,False,True,False,4,,0
15345,39520,0_1_13421_4495FR.jpg,13421,1_13421_4495FR.png,False,True,False,1,,0
15350,39525,0_0_9802_3359R.jpg,9802,0_9802_3359R.png,False,True,False,0,,0
15355,39535,0_0_11639_4163CV.jpg,11639,0_11639_4163CV.png,False,True,False,0,,0
15360,39540,0_7_13883_4797BR.jpg,13883,7_13883_4797BR.png,False,True,False,7,,0
15365,39545,0_3_15216_6412DR.jpg,15216,3_15216_6412DR.png,False,True,False,3,,0
15370,39560,0_6_13912_4803FV.jpg,13912,6_13912_4803FV.png,False,True,False,6,,0
15375,39565,0_1_9802_3359V.jpg,9802,1_9802_3359V.png,False,True,False,1,,0
15380,39570,0_0_12016_4368V.jpg,12016,0_12016_4368V.png,False,True,False,0,,0
15385,39610,0_1_13873_4761DV.jpg,13873,1_13873_4761DV.png,False,True,False,1,,0
15390,39620,0_0_13958_4873BV.jpg,13958,0_13958_4873BV.png,False,True,False,0,,0
15395,39625,0_2_16637_3520_P31_50.jpg,16637,2_16637_3520_P31_50.png,False,True,False,2,,0
15400,39640,0_1_13682_4524HR.jpg,13682,1_13682_4524HR.png,False,True,False,1,,0
15405,39655,0_1_13919_4807GR.jpg,13919,1_13919_4807GR.png,False,True,False,1,,0
15410,39675,0_2_14727_6613R.jpg,14727,2_14727_6613R.png,False,True,False,2,,0
15415,39690,0_4_13958_4873BR.jpg,13958,4_13958_4873BR.png,False,True,False,4,,0
15420,39700,0_1_12376_3929FV.jpg,12376,1_12376_3929FV.png,False,True,False,1,,0
15425,39705,0_5_13873_4761DR.jpg,13873,5_13873_4761DR.png,False,True,False,5,,0
15430,39715,0_3_13918_4807FR.jpg,13918,3_13918_4807FR.png,False,True,False,3,,0
15435,39730,0_1_17387_6764R.jpg,17387,1_17387_6764R.png,False,True,False,1,,0
15440,39735,0_0_13826_4727ER.jpg,13826,0_13826_4727ER.png,False,True,False,0,,0
15445,39745,0_1_13909_4800DV.jpg,13909,1_13909_4800DV.png,False,True,False,1,,0
15450,39750,0_1_11462_4148AR.jpg,11462,1_11462_4148AR.png,False,True,False,1,,0
15455,39765,0_0_13979_4877DV.jpg,13979,0_13979_4877DV.png,False,True,False,0,,0
15460,39775,0_1_12672_4416HV.jpg,12672,1_12672_4416HV.png,False,True,False,1,,0
15465,39790,0_3_4660_1835R.jpg,4660,3_4660_1835R.png,False,True,False,3,,0
15470,39800,0_3_13070_4456BR.jpg,13070,3_13070_4456BR.png,False,True,False,3,,0
15475,39825,0_0_12939_4440BV.jpg,12939,0_12939_4440BV.png,False,True,False,0,,0
15480,39830,0_2_12121_4262R.jpg,12121,2_12121_4262R.png,False,True,False,2,,0
15485,39860,0_1_10980_4110AR.jpg,10980,1_10980_4110AR.png,False,True,False,1,,0
15490,39870,0_0_11632_4162KV.jpg,11632,0_11632_4162KV.png,False,True,False,0,,0
15495,39880,0_1_16600_3520_P37_44.jpg,16600,1_16600_3520_P37_44.png,False,True,False,1,,0
15500,39890,0_4_13979_4877DR.jpg,13979,4_13979_4877DR.png,False,True,False,4,,0
15505,39895,0_8_13883_4797BV.jpg,13883,8_13883_4797BV.png,False,True,False,8,,0
15510,39920,0_3_16599_3520_P38_43.jpg,16599,3_16599_3520_P38_43.png,False,True,False,3,,0
15515,39935,0_0_18428_7176R.jpg,18428,0_18428_7176R.png,False,True,False,0,,0
15520,39945,0_0_12178_4275Z6V.jpg,12178,0_12178_4275Z6V.png,False,True,False,0,,0
15525,39955,0_9_13912_4803FR.jpg,13912,9_13912_4803FR.png,False,True,False,9,,0
15530,39960,0_0_8872_3538R.jpg,8872,0_8872_3538R.png,False,True,False,0,,0
15535,39970,0_0_13873_4761DR.jpg,13873,0_13873_4761DR.png,False,True,False,0,,0
15540,39980,0_1_13958_4873BR.jpg,13958,1_13958_4873BR.png,False,True,False,1,,0
15545,39990,0_0_18445_7187V.jpg,18445,0_18445_7187V.png,False,True,False,0,,0
15550,40005,0_0_13919_4807GV.jpg,13919,0_13919_4807GV.png,False,True,False,0,,0
15555,40010,0_0_10813_4101LR.jpg,10813,0_10813_4101LR.png,False,True,False,0,,0
15560,40025,0_2_14740_6607BR.jpg,14740,2_14740_6607BR.png,False,True,False,2,,0
15565,40030,0_2_13918_4807FV.jpg,13918,2_13918_4807FV.png,False,True,False,2,,0
15570,40045,0_5_13958_4873BV.jpg,13958,5_13958_4873BV.png,False,True,False,5,,0
15575,40050,0_1_12673_4417AR.jpg,12673,1_12673_4417AR.png,False,True,False,1,,0
15580,40055,0_4_13873_4761DV.jpg,13873,4_13873_4761DV.png,False,True,False,4,,0
15585,40060,0_0_11282_4130CV.jpg,11282,0_11282_4130CV.png,False,True,False,0,,0
15590,40070,0_0_13909_4800DR.jpg,13909,0_13909_4800DR.png,False,True,False,0,,0
15595,40080,0_4_13919_4807GR.jpg,13919,4_13919_4807GR.png,False,True,False,4,,0
15600,40110,0_2_8872_3538R.jpg,8872,2_8872_3538R.png,False,True,False,2,,0
15605,40120,0_0_10824_4102FR.jpg,10824,0_10824_4102FR.png,False,True,False,0,,0
15610,40150,0_1_13979_4877DR.jpg,13979,1_13979_4877DR.png,False,True,False,1,,0
15615,40170,0_0_10980_4110AV.jpg,10980,0_10980_4110AV.png,False,True,False,0,,0
15620,40190,0_2_11183_4124PV.jpg,11183,2_11183_4124PV.png,False,True,False,2,,0
15625,40225,0_2_17858_6941R.jpg,17858,2_17858_6941R.png,False,True,False,2,,0
15630,40235,0_0_10736_4097Z4R.jpg,10736,0_10736_4097Z4R.png,False,True,False,0,,0
15635,40245,0_8_13912_4803FV.jpg,13912,8_13912_4803FV.png,False,True,False,8,,0
15640,40260,0_0_12742_4424GR.jpg,12742,0_12742_4424GR.png,False,True,False,0,,0
15645,40265,0_1_4660_1835R.jpg,4660,1_4660_1835R.png,False,True,False,1,,0
15650,40270,0_1_14160_5240DR.jpg,14160,1_14160_5240DR.png,False,True,False,1,,0
15655,40275,0_2_10262_3796V1.jpg,10262,2_10262_3796V1.png,False,True,False,2,,0
15660,40280,0_4_4009_1038R.jpg,4009,4_4009_1038R.png,False,True,False,4,,0
15665,40285,0_0_14494_5694HR.jpg,14494,0_14494_5694HR.png,False,True,False,0,,0
15670,40295,0_4_14727_6613V.jpg,14727,4_14727_6613V.png,False,True,False,4,,0
15675,40300,0_3_14727_6613R.jpg,14727,3_14727_6613R.png,False,True,False,3,,0
15680,40310,0_0_17387_6764R.jpg,17387,0_17387_6764R.png,False,True,False,0,,0
15685,40315,0_0_11096_4120IV.jpg,11096,0_11096_4120IV.png,False,True,False,0,,0
15690,40325,0_2_14084_5028BV.jpg,14084,2_14084_5028BV.png,False,True,False,2,,0
15695,40355,0_0_4950_398AR.jpg,4950,0_4950_398AR.png,False,True,False,0,,0
15700,40360,0_4_12840_4419DR.jpg,12840,4_12840_4419DR.png,False,True,False,4,,0
15705,40380,0_1_4950_398AV.jpg,4950,1_4950_398AV.png,False,True,False,1,,0
15710,40400,0_2_4009_1038V.jpg,4009,2_4009_1038V.png,False,True,False,2,,0
15715,40410,0_2_13883_4797BR.jpg,13883,2_13883_4797BR.png,False,True,False,2,,0
15720,40415,0_0_11052_4115BV.jpg,11052,0_11052_4115BV.png,False,True,False,0,,0
15725,40435,0_0_13421_4495FV.jpg,13421,0_13421_4495FV.png,False,True,False,0,,0
15730,40445,0_3_13912_4803FV.jpg,13912,3_13912_4803FV.png,False,True,False,3,,0
15735,40460,0_2_13966_4874BV.jpg,13966,2_13966_4874BV.png,False,True,False,2,,0
15740,40475,0_3_4009_1038R.jpg,4009,3_4009_1038R.png,False,True,False,3,,0
15745,40485,0_0_10693_4096ER.jpg,10693,0_10693_4096ER.png,False,True,False,0,,0
15750,40490,0_0_12559_4405IV.jpg,12559,0_12559_4405IV.png,False,True,False,0,,0
15755,40500,0_2_15216_6412DV.jpg,15216,2_15216_6412DV.png,False,True,False,2,,0
15760,40510,0_6_13883_4797BV.jpg,13883,6_13883_4797BV.png,False,True,False,6,,0
15765,40520,0_7_13912_4803FR.jpg,13912,7_13912_4803FR.png,False,True,False,7,,0
15770,40525,0_0_14085_5031BR.jpg,14085,0_14085_5031BR.png,False,True,False,0,,0
15775,40530,0_3_12121_4262R.jpg,12121,3_12121_4262R.png,False,True,False,3,,0
15780,40535,0_0_11439_4146AV.jpg,11439,0_11439_4146AV.png,False,True,False,0,,0
15785,40540,0_0_11157_4123SV.jpg,11157,0_11157_4123SV.png,False,True,False,0,,0
15790,40550,0_0_11157_4123SR.jpg,11157,0_11157_4123SR.png,False,True,False,0,,0
15795,40555,0_0_11439_4146AR.jpg,11439,0_11439_4146AR.png,False,True,False,0,,0
15800,40570,0_4_12121_4262R.jpg,12121,4_12121_4262R.png,False,True,False,4,,0
