,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,4415,4415,18146,4415,18146,13520,13908,4415,13908,4415,13908,13886,4415,4415,13528,11457,18146,4415,4415,10769,4415,13090,13090,4415,4415,13886,10945,4415,13908,13202,13886,13886,10842,13908,10769,4415,4415,10842,4415,4415,13520,13202,13972,4415,13528,13520,13908,4415,13090,10769,10842,11084,4415,4415,13886,13886,10769,12795,13090,4415,13908,13886,10769,10945,13090,4415,5126,12187,4415,13886,13574,10769,4415,13886,13466,10842,13886,10945,12187,13908,13574,13908,13574,13574,13886,13071,18146,14728,11457,5126,4415,13908,11083,10842,12795,13908,4415,13886,13202,13908
1,4415,4415,18146,4415,18146,13520,13908,4415,13908,4415,13908,13886,4415,4415,13528,11457,18146,4415,4415,10769,4415,13090,13090,4415,4415,13886,4415,10945,13908,13202,13886,13886,10842,13908,4415,4415,10769,4415,10842,4415,13520,13202,13972,4415,13528,13908,4415,13520,13090,10769,10842,4415,13886,11084,4415,13886,10769,12795,13090,4415,13908,13886,10945,10769,13090,4415,5126,4415,12187,13886,13574,10769,4415,13886,13466,13886,13908,10842,12187,13908,13574,10945,13574,13574,13886,13071,18146,14728,11457,4415,13908,5126,11083,10842,4415,13908,13886,12795,13202,13908
2,4415,4415,18146,4415,18146,13520,13908,4415,13908,4415,13908,13886,4415,4415,13528,11457,18146,4415,4415,10769,4415,13090,13090,4415,4415,13886,4415,10945,13908,13202,13886,13886,10842,13908,4415,4415,10769,4415,10842,4415,13520,13202,13972,4415,13528,13520,13908,13090,4415,10769,10842,4415,4415,11084,13886,13886,10769,12795,13090,4415,13908,13886,10769,10945,13090,4415,5126,4415,12187,13886,13574,10769,4415,13886,13466,13886,10842,13908,10945,13574,12187,13908,13574,13886,13574,13071,18146,14728,4415,11457,5126,13908,11083,10842,13908,4415,12795,13886,13202,13908
3,4415,4415,18146,4415,18146,13520,13908,4415,13908,4415,13908,13886,4415,4415,13528,11457,18146,4415,4415,10769,4415,13090,13090,4415,13886,4415,4415,13908,13886,10945,13202,13886,13908,4415,4415,10842,4415,4415,4415,10769,13972,10842,13202,13528,13520,4415,13908,13090,13520,10769,13886,13886,4415,11084,4415,4415,13908,12795,10842,13886,13090,10769,4415,10945,13090,10769,4415,5126,13886,12187,4415,13574,13886,10769,13886,13908,13908,13466,13574,13574,13574,13071,12187,13886,10842,10945,18146,13908,11457,14728,4415,5126,11083,4415,13886,13908,13202,10842,13908,12795
4,4415,4415,18146,4415,18146,13520,13908,4415,13908,4415,13908,13886,4415,13528,4415,11457,18146,4415,4415,4415,10769,13090,13090,4415,4415,13886,4415,10945,13908,13886,13202,13886,13908,10842,4415,4415,4415,4415,10769,13972,4415,10842,13202,13520,13528,4415,13908,13090,13520,10769,13886,4415,11084,4415,10842,4415,13886,12795,13908,13090,10769,13886,10945,13090,10769,4415,5126,4415,13886,12187,13574,4415,10769,13886,13886,13466,13908,13908,13574,12187,10842,13574,13574,10945,13071,13886,18146,11457,14728,5126,13908,4415,11083,4415,10842,13908,13886,12795,13202,13908
5,4415,4415,18146,4415,18146,13520,13908,4415,13908,4415,13886,13908,4415,4415,13528,11457,18146,4415,4415,10769,4415,13090,13090,4415,4415,10945,13886,4415,13908,13202,13886,10842,13886,13908,4415,4415,10769,4415,4415,10842,13520,13202,13972,4415,13528,13520,13908,13090,4415,10769,10842,4415,11084,4415,13886,10769,12795,13090,13886,4415,13908,10945,10769,13886,13090,4415,5126,12187,4415,13886,13574,10769,4415,13886,13466,13886,10842,12187,13574,10945,13908,13908,13574,13886,13071,13574,18146,14728,11457,5126,4415,11083,13908,10842,12795,13908,4415,13886,13908,13202
6,4415,4415,18146,18146,4415,13520,13908,4415,13908,4415,13908,13886,4415,4415,13528,11457,18146,4415,4415,10769,4415,13090,13090,4415,13886,4415,4415,10945,13908,13886,13202,13886,13908,10842,4415,10769,4415,4415,10842,4415,4415,13972,13520,13202,13528,13908,4415,13520,13090,10769,10842,11084,13886,4415,4415,13886,10769,13090,13908,12795,4415,13886,10769,10945,13090,4415,5126,4415,12187,13886,13574,10769,4415,13886,13886,13466,10842,13908,13908,12187,10945,13574,13574,13574,13886,13071,18146,13908,11457,14728,4415,5126,11083,10842,4415,13908,13886,12795,13202,13908
7,4415,4415,18146,4415,18146,13520,13908,13908,4415,4415,13886,13908,4415,18146,11457,4415,13528,4415,4415,10769,13090,13090,10945,4415,4415,4415,4415,13886,10842,13908,10769,13202,13886,10842,13886,13520,4415,4415,4415,13908,13202,4415,13972,4415,13520,13528,13908,13090,10842,10769,4415,4415,11084,10769,10945,13090,12795,10769,4415,13886,4415,13090,13908,13886,13886,5126,12187,4415,4415,10769,13574,13886,10842,13466,10945,13574,12187,4415,13886,13886,13908,13908,5126,18146,13574,14728,11457,13886,10842,4415,13071,13574,11083,12795,13908,10945,13520,10945,13908,13908
8,4415,4415,18146,4415,18146,13520,13908,4415,13908,4415,13908,13886,4415,4415,13528,11457,18146,4415,4415,10769,13090,4415,13090,4415,4415,13886,4415,10945,13908,13202,13886,13886,10842,13908,4415,4415,4415,4415,10769,10842,13202,13520,13972,4415,13528,13908,13090,4415,13520,10769,10842,13886,4415,4415,13886,11084,12795,13090,4415,10769,13908,13886,13090,10945,10769,4415,4415,5126,12187,13886,13574,10769,4415,13886,13466,13886,13908,13574,13908,12187,10945,13574,10842,13886,13574,13071,18146,14728,4415,11457,5126,13908,11083,10842,4415,13908,13886,12795,13202,13908
9,11457,4415,13908,13908,18146,13520,4415,18146,13528,13908,4415,10769,4415,18146,4415,11457,18146,13908,13886,13886,14728,13202,13908,13886,13908,13528,13908,4415,4415,13071,13908,11084,4415,4415,13886,13574,4415,13090,4415,13090,13886,13528,13886,13090,13574,11457,4415,4415,13886,13908,4415,13886,13886,14005,13908,13908,13886,13972,13908,18146,13202,13071,4415,13574,13090,10842,4415,13090,13202,4415,4415,13090,13334,13090,4415,13886,14728,13466,13334,18146,4415,13886,18532,13071,13886,4415,4415,18146,18146,11457,14728,13528,13071,4415,12187,4415,13908,11457,17850,10842
10,4415,4415,18146,4415,13520,13908,18146,13908,4415,4415,13908,13528,4415,13886,4415,4415,11457,4415,18146,4415,4415,4415,13886,4415,13090,13090,10769,13886,4415,13908,13886,13908,13202,4415,4415,4415,13972,4415,13528,10842,10945,13202,13886,4415,4415,4415,13908,10842,13090,13520,13886,13886,4415,12795,10769,13908,11084,10769,4415,4415,13886,4415,13520,13090,5126,13886,13886,13908,13090,13574,13908,13071,13574,10945,10769,13574,13886,10842,13466,12187,10769,13908,10769,13886,4415,13574,18146,14728,13908,11457,12187,11083,4415,13466,5126,13466,13886,13202,13886,13886
