,image,papyri,original,position,fragment,patch
0,140220_140220_1_0.png,140220,1_14022_4919R.png,0,140220_1,0
1,140220_140220_1_1.png,140220,1_14022_4919R.png,0,140220_1,1
2,140220_140220_1_2.png,140220,1_14022_4919R.png,0,140220_1,2
3,140220_140220_1_3.png,140220,1_14022_4919R.png,0,140220_1,3
4,140220_140220_1_4.png,140220,1_14022_4919R.png,0,140220_1,4
5,140220_140220_1_5.png,140220,1_14022_4919R.png,0,140220_1,5
6,140220_140220_1_6.png,140220,1_14022_4919R.png,0,140220_1,6
7,136001_136001_1_0.png,136001,1_13600_4514BV.png,1,136001_1,0
8,136001_136001_1_1.png,136001,1_13600_4514BV.png,1,136001_1,1
9,136001_136001_1_2.png,136001,1_13600_4514BV.png,1,136001_1,2
10,136001_136001_1_3.png,136001,1_13600_4514BV.png,1,136001_1,3
11,136001_136001_1_4.png,136001,1_13600_4514BV.png,1,136001_1,4
12,136001_136001_1_5.png,136001,1_13600_4514BV.png,1,136001_1,5
13,136001_136001_1_6.png,136001,1_13600_4514BV.png,1,136001_1,6
14,136001_136001_1_7.png,136001,1_13600_4514BV.png,1,136001_1,7
15,136001_136001_1_8.png,136001,1_13600_4514BV.png,1,136001_1,8
16,136001_136001_1_9.png,136001,1_13600_4514BV.png,1,136001_1,9
17,136001_136001_1_10.png,136001,1_13600_4514BV.png,1,136001_1,10
18,136001_136001_1_11.png,136001,1_13600_4514BV.png,1,136001_1,11
19,136001_136001_1_12.png,136001,1_13600_4514BV.png,1,136001_1,12
20,136001_136001_1_13.png,136001,1_13600_4514BV.png,1,136001_1,13
21,136001_136001_1_14.png,136001,1_13600_4514BV.png,1,136001_1,14
22,136001_136001_1_15.png,136001,1_13600_4514BV.png,1,136001_1,15
23,136001_136001_1_16.png,136001,1_13600_4514BV.png,1,136001_1,16
24,136001_136001_1_17.png,136001,1_13600_4514BV.png,1,136001_1,17
25,136001_136001_1_18.png,136001,1_13600_4514BV.png,1,136001_1,18
26,136001_136001_1_19.png,136001,1_13600_4514BV.png,1,136001_1,19
27,171090_171090_1_0.png,171090,1_17109_5910Z11R.png,0,171090_1,0
28,171090_171090_1_1.png,171090,1_17109_5910Z11R.png,0,171090_1,1
29,171090_171090_1_2.png,171090,1_17109_5910Z11R.png,0,171090_1,2
30,171090_171090_1_3.png,171090,1_17109_5910Z11R.png,0,171090_1,3
31,171090_171090_1_4.png,171090,1_17109_5910Z11R.png,0,171090_1,4
32,171090_171090_1_5.png,171090,1_17109_5910Z11R.png,0,171090_1,5
33,109450_109450_0_0.png,109450,0_10945_4107IR.png,0,109450_0,0
34,109450_109450_0_1.png,109450,0_10945_4107IR.png,0,109450_0,1
35,109450_109450_0_2.png,109450,0_10945_4107IR.png,0,109450_0,2
36,109450_109450_0_3.png,109450,0_10945_4107IR.png,0,109450_0,3
37,109450_109450_0_4.png,109450,0_10945_4107IR.png,0,109450_0,4
38,109450_109450_0_5.png,109450,0_10945_4107IR.png,0,109450_0,5
39,109450_109450_0_6.png,109450,0_10945_4107IR.png,0,109450_0,6
